complex_name,graph_file,sha256,nodes,local_edges,line_nodes,line_edges,coulomb_nodes,coulomb_edges
A71EV2A-x3208a,processed/A71EV2A-x3208a.bin,8dcafe99c2611bdcc7ea342862ee089cf670da40781a3e8e3b9e741c5226c63a,23,276,276,3312,23,506
A71EV2A-x3210a,processed/A71EV2A-x3210a.bin,f21cd977572e2cedd2888281979901bdc2c51515d181ddb3b82cc04bd537187f,21,252,252,3024,21,420
A71EV2A-x3218a,processed/A71EV2A-x3218a.bin,bfbf7637568c5412f95ef53571b9ccc2183ad7c2914c6b2b2e8d0b4b469c7c0c,20,240,240,2880,20,380
A71EV2A-x3221a,processed/A71EV2A-x3221a.bin,cf8649216fe052bdcdbe71a45efbb5df41059839f6c41f413330a1056064c13b,19,228,228,2736,19,342
A71EV2A-x3225a,processed/A71EV2A-x3225a.bin,2a772b8e89b35e30e08c35badb9fb729ab50875bb4a63ca57a163198d7b1325a,22,264,264,3168,22,462
A71EV2A-x3229a,processed/A71EV2A-x3229a.bin,ffa1149841025219317ee39255db42a8ce6620e9d006ceec77d23d8b8e7356a3,20,240,240,2880,20,380
A71EV2A-x3264a,processed/A71EV2A-x3264a.bin,1e723156d6dc413818012fe08205f3567d9303f91b0271fbca53c5b233cb98e3,20,240,240,2880,20,380
A71EV2A-x3279a,processed/A71EV2A-x3279a.bin,ec9ceaa62b856c2790f7defc0087abb073c7effacb482dadb378c1f11d8dc843,16,192,192,2304,16,240
A71EV2A-x3286a,processed/A71EV2A-x3286a.bin,d20df80092208d3b381535d65d7688cffa7c85011ffc4759f74b319265c8b120,21,252,252,3024,21,420
A71EV2A-x3305a,processed/A71EV2A-x3305a.bin,b724d4b6908128753f2d90994e1f047227dc81328bf34f88a15d7e2b20c54300,23,276,276,3312,23,506
A71EV2A-x3306a,processed/A71EV2A-x3306a.bin,512418d65fd76c5b457a35096a8a79c179a405f2e144634a464fa8f2ffcf3ae3,20,240,240,2880,20,380
A71EV2A-x3324a,processed/A71EV2A-x3324a.bin,9241e1b2370f71f6e3fe23416ba1b2db10d4085e4b042256cdfeaf8117f5d4dc,25,296,296,3518,25,600
A71EV2A-x3579a,processed/A71EV2A-x3579a.bin,ef9491f654dbb95470e886048108d51f268d6324dc401e3227af1b8f85467a49,19,228,228,2736,19,342
A71EV2A-x3371a,processed/A71EV2A-x3371a.bin,8a6bfb2bb180b76fe3ace75e76fd18b895318c15991a620a424e84824e0a6627,21,245,245,2894,21,420
A71EV2A-x3379a,processed/A71EV2A-x3379a.bin,33bda2ed3fcd20525812695ca2a1b2de8b404e8fe4adaa8a7ed3b3b4ea23c405,21,252,252,3024,21,420
A71EV2A-x3392a,processed/A71EV2A-x3392a.bin,38cdd750a92c2b97ee4d141d9e7b857f1df4c189f0313145dd5feb0d1a75ab6d,19,228,228,2736,19,342
A71EV2A-x3403a,processed/A71EV2A-x3403a.bin,b0e67c3844a15930728e1a4f9112063bbe3807e9a27df93152c6af22fd5406c8,19,228,228,2736,19,342
A71EV2A-x3408a,processed/A71EV2A-x3408a.bin,6351ae8425166b4b3f754d668ede307e747e813f22c01b5829078f5a14b67167,14,168,168,2016,14,182
A71EV2A-x3410a,processed/A71EV2A-x3410a.bin,a6931467bff4c8e57423333b0d703a8e5ee1e1befa2c549fd28d95028ff4cd51,21,252,252,3024,21,420
A71EV2A-x3417a,processed/A71EV2A-x3417a.bin,bdb1eb3e4a0241a3e791bb17a6c2a744007c3f7cc8839f95dedb4b5c70fc93d1,16,192,192,2304,16,240
A71EV2A-x3419a,processed/A71EV2A-x3419a.bin,34d6413d420bc176148e53139a3610dde0705bc76b4ba371c3946a65b8740507,22,264,264,3168,22,462
